1.7462635,17367374,1,1.7462635,9947017,1,1.7462635
1.7425328,1.7425328,0,0,1.7425328,0,0
1.720353,1.720353,0,0,1.720353,4,1.8109078
1.7321069,1.7321069,0,0,1.7321069,0,0
1.746897,1.746897,0,0,1.746897,0,0
1.7373878,1.7373878,0,0,1.7373878,0,0
1.727712,398236.44,65,2.6122819,6084538,0,0
1.7220774,1.7220774,0,0,1.7220774,65,2.1287235
1.7679795,519059.56,6,1.997948,2246845.8,0,0
1.743780,1.7437808,0,0,1.7437808,0,0
1.7260798,517094.13,9,1.8947824,303538.19,0,0
1.7282669,1.7282669,0,0,1.7282669,63,2.4385464
1.7567422,1.7567422,0,0,1.7567422,0,0
1.7479901,11059697,1,1.7479901,7049778.5,0,0
1.7474101,1111310.6,16,2.153749,344640.75,0,0
1.7722472,1.7722472,0,0,1.7722472,0,0
1.7517595,3204276,4,2.0601798,2126556.5,0,0
1.7632498,1.7632498,0,0,1.7632498,0,0
1.7402275,1.7402275,0,0,1.7402275,0,0
1.7350334,1.7350334,0,0,1.7350334,42,1.9883992
1.7511149,15024833,1,1.7511149,701624.5,3,1.768492
1.7328309,344765.25,29,2.0308437,347150.94,0,0
1.7361283,929983.31,8,1.909733,1086354.6,5,1.9252146
1.7410712,12077738,3,2.3803264,358794.88,0,0
1.7456611,1.7456611,0,0,1.7456611,0,0
